Norm,Environment,Context,Label
پوشیدن لباس متناسب با شئون اسلامی,دانشگاه,دانشجویان زن با چادر و روسری در محوطه دانشگاه حضور دارند,Normal
پوشش متناسب با فرهنگ بومی در مناطق قومیتی,روستای قومیتی,بازدید از روستاهای اقوام و اقلیت های قومی,Expected
پرهیز از مزاحمت و آزار برای شهروندان,حمل و نقل عمومی,استفاده از وسایل حمل و نقل عمومی شهری,Expected
استفاده از زبان شوخی و طنز در مراودات اجتماعی,مهمانی خانوادگی,افراد در گفتگوهای خود از شوخی و طنز استفاده می‌کنند,Normal
اهدای گل و هدیه به زنان در فضای کار,جلسه اداری,یک مرد به یک همکار زن در محل کار,Taboo
توجه به هنرهای سنتی مانند قالیبافی,نمایشگاه هنری,بازدیدکنندگان در حال بازدید از یک نمایشگاه هنری,Expected
معرفی و انتقال میراث فرهنگی به نسل جدید,موزه,بازدید از موزه ها و آثار تاریخی,Expected
رعایت قوانین و مقررات فضای مجازی,فضای مجازی,کاربری در حال انتشار محتوای غیرقانونی یا تهدیدآمیز,Taboo
تعارف کردن راه رفتن در جلو به افراد محترم تر,خیابان شهر,افراد در حال راه رفتن در خیابان,Normal
اطاعت از بزرگترها,عروسی,عروس از مادرشوهر احترام می برد,Normal
رفتار مناسب با حیوانات اهلی و وحشی,پارک,گروهی از کودکان در حال آزار حیوانات پارک,Taboo
معرفی علوم و دانش سنتی ایرانی,کتابخانه سنتی,حضور در کتابخانه های خطی و بازدید از نسخ خطی کهن,Expected
میانجیگری و آشتی دادن میان دو طرف درگیر,روستا,ریش سفیدان در حال میانجیگری میان دو خانواده درگیر,Expected
روشن کردن آتش در اماکن نامناسب یا خطرناک,پارک,یک گروه جوان در حال روشن کردن آتش در زیر درختان,Taboo
عدم ایستادن در خط اتوبوس,ایستگاه اتوبوس,عابران در حال انتظار برای سوار شدن به اتوبوس,Expected
احترام به رانندگان,اتوبوس,مسافران به راننده احترام می گذارند,Expected
اظهار نظرهای تند و توهین آمیز,محل کار,کارمندان در حال گفتگو با مدیر در دفتر کار,Taboo
استفاده از کلمات رکیک و توهین آمیز,محل کار,دو همکار در حال درگیری لفظی با یکدیگر,Taboo
نگاه کردن مستقیم به چشمان جنس مخالف,مکالمه با یک غریبه,یک مرد و زن ناشناس در حال گفتگو,Taboo
رعایت قوانین و مقررات راهنمایی و رانندگی,جاده,راننده ای در حال رانندگی در جاده,Normal
احترام گذاشتن به نمادهای ملی و مذهبی,مراسم عزاداری,شرکت کنندگان در حال احترام گذاشتن به آیین‌ها و نمادهای عزاداری,Expected
تشویق کودکان برای کمک در برداشت محصول,جشن برداشت زعفران,کودکان روستا در حال کمک به والدین در جمع آوری زعفران,Normal
پرهیز از بلند گفتن و فریاد در اماکن عمومی,مترو,سوار شدن به واگن مترو در ساعات شلوغی,Normal
رعایت بهداشت فردی,استخر,شناگران قبل از ورود به استخر دوش می گیرند,Expected
احترام به سنت های قدیمی در مراسم ازدواج,جشن عروسی,زوجین در حال رعایت آداب سنتی در مراسم عروسی,Normal
گرامیداشت و تجلیل از مقام شهدا و جانبازان,پارک شهدا,بازدید از پارک و یادبود شهدای جنگ,Expected
آموزش مهارت‌های اجتماعی به کودکان,مراکز فرهنگی,برگزاری کلاس‌ها برای آموزش مهارت‌های ارتباطی و اجتماعی,Expected
ابراز همدردی در مصیبت ها و ناراحتی ها,مراسم عزاداری,افراد حاضر در مراسم عزاداری,Expected
دور ریختن زباله در طبیعت و اماکن عمومی,کوهستان,کوهنوردان در حال رها کردن زباله در مسیر کوهستان,Taboo
اهدای خون و کمک به بیماران نیازمند,اهدای خون,شرکت در کمپین های اهدای خون,Expected
غر زدن و اظهار گلایه به پدربزرگ و مادربزرگ,خانه مادربزرگ,حضور در منزل پدری و مادری,Taboo
ترویج فرهنگ صلح و دوستی بین اقوام,موزه,نمایشگاهی برای آشنایی با فرهنگ اقوام ایرانی برپا شده است,Expected
حرمت نهادن به خانواده,محیط خانواده,اعضای خانواده به یکدیگر احترام می‌گذارند,Expected
پایبندی به اخلاق حرفه‌ای,محل کار,کارکنان به اخلاق و اصول حرفه‌ای پایبند هستند,Expected
اظهار نظر توهین آمیز علیه اقلیت ها,فضای مجازی,کاربری در حال انتشار پیام های توهین آمیز نژادپرستانه در شبکه اجتماعی,Taboo
همدردی و ابراز همدلی با افراد داغدیده,مراسم عزاداری,حضور در آیین های سوگواری و عزا,Expected
استفاده از روش های نوین درمانی پزشکی,بیمارستان,پزشکان در حال استفاده از روش های نوین درمانی در بیمارستان,Normal
رعایت سکوت در کتابخانه,کتابخانه,افرادی در حال مطالعه در سکوت در یک کتابخانه,Expected
خدمات پزشکی و درمانی رایگان به نیازمندان,مراکز درمانی خیریه,پزشکان در حال ارائه خدمات رایگان به بیماران تهیدست,Expected
رفتارهای جنسی علنی,پارک,در یک پارک عمومی و محل تفریح خانوادگی,Taboo
رعایت سلسله مراتب خانوادگی,مهمانی خانوادگی,از سوی فرزندان نسبت به والدین و بزرگتر‌ها,Expected
